Date,KGF.L,DPLM.L,BP.L,RR.L,SMT.L,SGE.L,GLEN.L,GSK.L,BTRW.L,AV.L,FRES.L,RIO.L,BAES.L,INF.L,MNDI.L,WTB.L,NWG.L,LSEG.L,BNZL.L,PSON.L,ITRK.L,AAF.L,VOD.L,.FTSE,LAND.L,CCH.L,AHT.L,IMB.L,MTLN.L,HLMA.L,SN.L,BARC.L,BATS.L,PSN.L,RTO.L,JD.L,MKS.L,MNG.L,AZN.L,SSE.L,RMV.L,LMPL.L,HSBA.L,PRU.L,CTEC.L,HWDN.L,HLN.L,CPG.L,CNA.L,PHNX.L,EZJ.L,ABF.L,BT.L,IHG.L,WEIR.L,MRON.L,ADML.L,DGE.L,ENT.L,ULVR.L,EDV.L,HSX.L,PSHP.L,WPP.L,ICAG.L,BEZG.L,AUTOA.L,CCEPC.L,HIK.L,FCIT.L,BAB.L,EXPN.L,CRDA.L,SMIN.L,SJP.L,NG.L,UU.L,PCT.L,III.L,STAN.L,DCC.L,BRBY.L,REL.L,AAL.L,LGEN.L,NXT.L,GAW.L,ANTO.L,IMI.L,TSCO.L,ALWA.L,SVT.L,SGRO.L,RKT.L,SHEL.L,BKGH.L,SPX.L,SBRY.L,LLOY.L,ICGIN.L,SDR.L
2015-01-02,336.3,714.0,410.45,272.373773,246.4,467.8,283.011475,1377.296746,405.280259,478.588302,742.727025,2703.04246,469.2,428.473768,1003.06968,4052.478474,356.934917,2224.0,1782.0,1176.0,2343.0,,221.9,6547.8,1152.752386,1118.660004,1165.0,2804.0,,660.5,1165.0,243.15,3452.5,1481.380485,120.0,20.32,450.64885,,4580.0,1606.0,230.0,151.573773,597.73428,1222.38418,,397.767169,,1099.306333,276.8,626.750769,1416.939579,3115.339737,401.0,2621.249395,1883.0,107.76507,1013.497081,1829.0,460.270993,2791.571306,,734.97201,1859.859581,1342.0,322.570294,259.848021,,2174.599367,1978.351138,422.3,1058.0,1095.0,2599.377021,1096.0,809.0,837.819569,918.5,57.95,454.0,915.820036,3517.0,1624.0,1092.0,1125.267108,246.0,6020.299676,503.0,748.0,1252.0,187.725557,472.796652,2000.0,363.103612,5165.0,2168.0,2460.843148,2851.491757,227.328482,75.013619,458.580744,455.43
2015-01-05,328.1,718.0,389.7,268.908057,242.0,467.8,269.103809,1363.852418,402.199953,465.151471,746.125123,2624.317486,462.0,423.50222,976.295656,4027.563936,346.752502,2204.0,1752.0,1160.0,2276.0,,216.45,6417.16,1162.758917,1082.87795,1182.0,2805.0,,672.5,1175.0,234.7,3413.0,1470.021657,117.7,20.28,431.474313,,4583.5,1584.0,222.6,149.992821,589.823091,1199.436304,,395.889044,,1078.262182,268.2,614.131626,1433.777839,3019.753232,392.4,2606.074273,1764.0,105.303022,1004.248438,1821.0,461.229891,2756.2214,,741.191801,1874.69971,1325.0,326.875647,254.481109,,,2126.07867,421.1,1044.0,1071.0,2574.354138,1077.0,788.0,839.110934,912.0,57.9,442.4,901.543066,3502.0,1607.0,1081.0,1069.715947,242.6,6006.931135,495.0,722.0,1224.0,181.3349,467.835512,1988.0,366.067333,5180.0,2080.0,2460.843148,2835.472141,218.082172,73.506451,459.183083,447.78
2015-01-06,316.8,725.0,391.05,269.065589,241.5,459.8,270.627936,1351.403966,393.927131,458.433056,767.484593,2679.83452,456.7,419.543395,973.42701,3955.397688,339.413825,2174.0,1746.0,1144.0,2298.0,,215.35,6366.51,1151.751733,1077.228152,1109.0,2834.0,,663.0,1176.0,230.35,3421.0,1446.357432,115.6,18.88,429.207373,,4488.5,1600.0,218.3,149.301155,579.860853,1177.307995,,384.620292,,1057.218032,263.9,599.218093,1416.097666,3011.950252,385.9,2562.572257,1772.0,104.092178,996.541236,1782.0,460.270993,2757.29261,,733.417062,1845.861967,1308.0,318.46365,249.561439,,2206.833447,2144.045532,420.0,1033.0,1046.0,2587.366037,1047.0,768.0,827.211922,900.0,57.0,433.2,901.447886,3475.0,1602.0,1066.0,1096.779333,238.6,6006.931135,495.0,717.5,1200.0,178.538987,467.240175,1976.0,365.684918,5110.0,2079.5,2435.885306,2787.413291,219.10954,71.782566,454.866321,435.71
2015-01-07,319.1,719.0,393.75,270.798447,245.1,460.0,271.294742,1373.313241,399.031639,457.741454,774.76623,2696.216595,462.7,425.803863,978.208086,3986.32608,337.028755,2190.0,1761.0,1140.0,2309.0,,216.0,6419.83,1173.766101,1068.753455,1109.0,2830.0,,668.0,1185.0,230.6,3410.0,1458.662829,117.3,19.032,437.519488,,4479.5,1600.0,219.8,149.992821,586.99069,1205.583057,,387.684601,,1062.228544,265.2,606.101262,1384.104972,2978.787588,393.4,2618.21437,1765.0,105.868082,1005.789879,1809.5,460.750442,2775.503167,,743.265065,1894.731948,1323.0,318.728594,251.976549,,,2168.001348,423.0,1042.0,1071.0,2603.380682,1057.0,767.5,846.305686,929.0,57.3,425.7,915.439316,3484.0,1626.0,1077.0,1094.880148,241.1,6104.967103,496.5,719.5,1200.0,181.734316,470.216859,2021.0,370.751924,5170.0,2098.0,2441.875188,2803.432907,214.439686,71.920477,455.870219,439.28
2015-01-08,322.7,712.0,405.0,277.887412,252.7,465.6,278.581978,1421.613236,400.175752,477.4027,800.494683,2755.37409,468.9,437.312075,1006.89454,4067.083548,346.477302,2216.0,1806.0,1163.0,2430.0,,225.75,6569.96,1181.771326,1088.527748,1131.0,2950.0,,683.0,1196.0,237.05,3512.5,1456.769691,120.3,19.4,422.123184,,4572.5,1600.0,225.5,149.202345,592.069478,1232.628768,,406.465854,,1093.293718,271.3,613.749227,1360.531408,3019.753232,399.3,2664.751411,1777.0,107.603624,1030.452925,1849.5,461.70934,2857.986279,,758.296227,1864.50923,1361.0,313.760879,253.854969,,,2170.995825,437.1,1066.0,1091.0,2655.428277,1091.0,795.5,860.049505,942.0,58.5,433.0,923.910319,3496.0,1651.0,1093.0,1121.468738,244.8,6153.985087,492.0,746.0,1225.0,208.944536,480.238362,2058.0,373.906853,5260.0,2142.5,2445.868443,2852.492983,235.734219,72.994211,459.885812,452.2
2015-01-09,321.4,720.0,398.65,271.58611,248.1,462.6,272.628354,1403.687465,379.669715,484.516316,792.24216,2716.69419,467.7,433.077053,1003.06968,4049.041986,337.303955,2215.0,1812.0,1177.0,2459.0,,224.9,6501.14,1182.771979,1062.162024,1139.0,2934.0,,691.0,1182.0,231.0,3472.0,1381.044171,120.0,19.084,423.162199,,4587.0,1595.0,215.7,149.202345,587.96738,1211.320026,,404.983124,,1083.272694,268.8,614.131626,1372.31819,3002.196528,392.5,2628.331118,1767.0,107.48254,1042.784449,1823.5,459.312095,2812.995491,,766.589282,1872.133104,1358.0,308.263275,253.13938,,,2278.796997,432.4,1031.0,1093.0,2651.424616,1077.0,783.5,850.917706,938.0,57.6,430.7,899.54429,3482.0,1647.0,1090.0,1094.405352,244.1,6140.616546,498.0,750.0,1218.0,203.802054,476.071005,2053.0,378.591444,5245.0,2106.5,2341.04551,2845.484401,225.834129,72.639583,467.415049,447.61
2015-01-12,324.4,725.0,396.55,273.634033,247.6,465.0,266.19844,1406.675093,372.805033,478.291902,801.465568,2661.632214,470.2,437.312075,1020.281552,4101.448428,338.037823,2193.0,1829.0,1185.0,2393.0,,226.8,6501.42,1193.779163,1059.337125,1117.0,2967.0,,680.0,1180.0,231.4,3522.0,1389.563292,119.0,18.86,423.445566,,4672.5,1503.0,212.5,149.301155,588.651063,1211.729809,,406.762401,,1111.331562,261.0,612.602033,1373.160103,3030.48233,397.9,2666.77476,1723.0,107.48254,1054.345252,1843.5,462.668238,2868.698372,,761.406123,1867.608996,1380.0,310.846487,249.919233,,,2375.61842,432.1,1020.0,1090.0,2654.427362,1067.0,788.0,849.165138,950.0,57.3,429.8,876.796318,3470.0,1663.0,1100.0,1082.535446,244.7,6189.63453,499.0,727.5,1204.0,204.251397,473.987326,2071.0,382.128788,5330.0,2078.5,2310.097786,2858.500339,224.433173,72.47212,467.816609,445.57
2015-01-13,333.1,730.0,396.3,271.743643,249.9,463.4,256.196352,1417.131793,374.477199,484.911517,807.290878,2657.536695,475.1,444.861462,1033.668564,4115.19438,342.807963,2258.0,1825.0,1195.0,2363.0,,229.0,6542.2,1208.78896,1071.578354,1084.0,2963.0,,687.5,1159.0,233.0,3584.5,1407.548103,122.2,18.8,437.330576,,4717.0,1524.0,215.5,149.202345,590.116098,1222.38418,,410.222105,,1119.348381,271.8,634.016336,1394.207928,3054.866642,399.8,2676.891508,1692.0,107.603624,1103.671346,1865.5,456.91485,2895.478603,,764.516019,1862.998094,1401.0,323.961254,247.951365,,,2425.52637,437.6,1025.0,1087.0,2682.45299,1086.0,804.0,858.75814,943.0,58.0,436.0,886.695017,3475.0,1664.0,1106.0,1087.758204,246.9,6287.670498,500.0,709.0,1217.0,211.690522,480.932922,2095.0,380.981542,5340.0,2077.0,2352.02696,2946.608231,232.558719,72.905554,468.619727,455.6
2015-01-14,329.2,725.0,382.15,268.592992,244.0,461.9,232.429484,1389.745198,374.037156,485.504318,792.24216,2552.418377,468.6,443.756674,1005.938325,4042.16901,332.717282,2212.0,1792.0,1187.0,2244.0,,225.25,6388.46,1202.785041,1006.605677,1033.0,2932.0,,676.5,1148.0,223.55,3514.5,1389.563292,120.0,18.8,426.279242,,4680.0,1488.0,213.4,148.609488,576.344769,1199.436304,,404.785427,,1107.323152,261.1,619.102803,1363.057147,2960.25551,401.4,2646.541265,1608.0,104.41507,1071.301097,1828.5,457.873748,2869.769581,,758.296227,1844.360751,1376.0,320.583208,244.731217,,,2362.642353,431.0,994.5,1065.0,2662.434684,1063.0,780.5,834.775635,941.5,57.0,424.5,843.388208,3436.0,1642.0,1104.0,989.950177,243.0,6162.897448,500.0,675.0,1201.0,213.687602,472.201315,2071.0,372.185983,5255.0,2008.0,2331.062373,2903.555511,227.048291,71.812119,464.403354,442.51
2015-01-15,318.6,722.0,392.6,268.750524,244.8,467.7,229.190713,1407.173031,374.037156,500.917154,830.106675,2587.002758,479.6,443.20428,1030.799919,4100.589306,332.809015,2255.0,1825.0,1200.0,2288.0,,227.9,6498.78,1226.800716,1017.905273,1030.0,2850.0,,678.5,1168.0,227.95,3589.5,1378.204464,121.8,19.044,431.474313,,4729.0,1480.0,216.2,149.103536,582.986261,1242.053788,,404.192334,,1093.293718,265.2,615.661219,1384.946885,3069.497229,400.2,2631.366143,1656.0,106.715672,1105.212786,1885.5,461.70934,2926.543671,,762.961071,1855.613676,1383.0,324.292435,246.877982,,,2245.85775,434.9,1019.0,1121.0,2705.474042,1081.0,800.5,840.217819,951.0,56.8,434.7,853.857986,3408.0,1684.0,1102.0,1006.09325,248.1,6194.320035,499.0,670.0,1214.0,218.929938,474.48344,2104.0,375.723327,5390.0,2066.0,2333.059,2957.621717,238.442734,73.073017,456.673337,448.12
